epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.7354286744676788,0.35919540229885055,1.8717207165566732,0.34608030592734224,0.24807525017620932
2,1.6106369518228874,0.4157088122605364,1.5563884827648478,0.3862332695984704,0.33849786415305066
3,1.5870988126915533,0.4018199233716475,1.4707588604713717,0.49521988527724664,0.4455162030097009
4,1.5040365937112392,0.4267241379310345,1.4318693301873726,0.4818355640535373,0.4070544683298493
5,1.4573308444114481,0.45737547892720304,1.395441637212414,0.5105162523900574,0.4698519940155667
6,1.4466084292108528,0.45689655172413796,1.3996675844174271,0.47418738049713194,0.43525658892541197
7,1.4079938186082803,0.4559386973180077,1.3032665521647233,0.497131931166348,0.4552374633002883
8,1.3786096134405026,0.4640804597701149,1.2625201484669235,0.5717017208413002,0.5376311744989576
9,1.367388589172071,0.47509578544061304,1.3609701976265551,0.43021032504780116,0.39603431047660154
10,1.3376801278856065,0.5028735632183908,1.230351772636574,0.5525812619502868,0.5132431725760442
11,1.3493613799413045,0.4918582375478927,1.2598823313503376,0.5124282982791587,0.4574126430099303
12,1.3014541983147692,0.5009578544061303,1.2105993080321507,0.5850860420650096,0.5223359609279192
13,1.2889503692758495,0.5105363984674329,1.219936419399473,0.5334608030592735,0.49886082399109977
